Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
264.0,1,Alabama,,30,58,,Sep 21,,,,,,,,Rasmussen-1
231.0,1,Alabama,,28,60,,Aug 19,,,,,,,,Rasmussen-1
203.0,1,Alabama,,29,59,,Jul 22,,,,,,,,Rasmussen-1
154.0,1,Alabama,,31,58,,Jun 03,,,,,,,,Rasmussen-1
145.0,1,Alabama,,31,58,,May 25,,,,,,,,Rasmussen-1
 88.0,1,Alabama,,32,59,,Mar 29,,,,,,,,Rasmussen-1
  1.0,1,Alabama,,37,63,,Jan 01,,,,,,,,2004 Election-1
298.5,2,Alaska,,29,23,34,Oct 26,,,,,,,,Hays Research-2
298.5,6,Alaska,,23,27,37,Oct 28,,,,,,,,Dittman Research-6
290.0,5,Alaska,,23,37,37,Oct 19,,,,,,,,Opinion Research-5
286.0,1,Alaska,,27,35,34,Oct 13,,,,,,,,Rasmussen-1
282.5,2,Alaska,,26,35,33,Oct 10,,,,,,,,PPP-2
269.0,5,Alaska,,22,38,36,Sep 28,,,,,,,,Opinion Research-5
268.0,5,Alaska,,25,40,27,Sep 27,,,,,,,,Ivan Moore Research-5
267.5,2,Alaska,,19,30,41,Sep 25,,,,,,,,Craciun Research-2
262.0,1,Alaska,,25,42,27,Sep 19,,,,,,,,Rasmussen-1
  1.0,1,Alaska,,46,49,,Jan 01,,,,,,,,2004 Election-1
296.5,2,Arizona,,38,56,,Oct 24,,,,,,,,PPP-2
278.5,10,Arizona,,22,56,,Oct 10,,,,,,,,Rocky Mtn Poll-10
276.0,1,Arizona,,33,54,,Oct 03,,,,,,,,Rasmussen-1
250.0,1,Arizona,,37,51,,Sep 07,,,,,,,,Rasmussen-1
237.0,1,Arizona,,31,53,,Aug 25,,,,,,,,Rasmussen-1
210.0,1,Arizona,,34,53,,Jul 29,,,,,,,,Rasmussen-1
137.0,1,Arizona,,28,57,,May 17,,,,,,,,Rasmussen-1
114.0,3,Arizona,,33,49,,Apr 25,,,,,,,,PPP-3
108.5,14,Arizona,,24,46,,Apr 25,,,,,,,,Rocky Mtn Poll-14
103.0,1,Arizona,,32,54,,Apr 13,,,,,,,,Rasmussen-1
290.0,5,Arkansas,,34,55,,Oct 19,,,,,,,,Mason Dixon-5
290.0,5,Arkansas,,41,55,,Oct 19,,,,,,,,Opinion Research-5
287.0,13,Arkansas,,36,48,,Oct 20,,,,,,,,U. of Arkansas-13
273.0,1,Arkansas,,37,55,,Sep 30,,,,,,,,Rasmussen-1
261.0,3,Arkansas,,39,53,,Sep 19,,,,,,,,IPSOS-3
259.0,1,Arkansas,,29,56,,Sep 16,,,,,,,,Hendrix Coll.-1
256.0,3,Arkansas,,34,51,,Sep 14,,,,,,,,Mason Dixon-3
230.0,1,Arkansas,,27,65,,Aug 18,,,,,,,,Rasmussen-1
201.0,1,Arkansas,,35,60,,Jul 20,,,,,,,,Rasmussen-1
198.0,3,Arkansas,,35,54,,Jul 18,,,,,,,,IPSOS-3
166.0,1,Arkansas,,32,61,,Jun 15,,,,,,,,Rasmussen-1
139.0,1,Arkansas,,28,66,,May 19,,,,,,,,Rasmussen-1
124.0,3,Arkansas,,35,52,,May 05,,,,,,,,Mason Dixon-3
116.0,1,Arkansas,,29,57,,Apr 26,,,,,,,,Rasmussen-1
 89.0,1,Arkansas,,36,51,,Mar 30,,,,,,,,Rasmussen-1
 60.0,1,Arkansas,,39,48,,Mar 01,,,,,,,,Rasmussen-1
 32.0,1,Arkansas,,35,54,,Feb 01,,,,,,,,Rasmussen-1
 30.0,3,Arkansas,,33,56,,Jan 31,,,,,,,,PPP-3
300.0,1,California,,49,46,,Oct 27,,,,,,,,Rasmussen-1
299.5,4,California,,49,45,,Oct 28,,,,,,,,YouGov-4
296.0,1,California,,48,44,,Oct 23,,,,,,,,Pulse Opinion Research-1
296.0,5,California,,45,40,,Oct 25,,,,,,,,SurveyUSA-5
296.0,7,California,,50,45,,Oct 26,,,,,,,,Opinion Research-7
295.5,4,California,,52,43,,Oct 24,,,,,,,,Suffolk U.-4
295.0,3,California,,52,43,,Oct 23,,,,,,,,PPP-3
294.0,1,California,,48,46,,Oct 21,,,,,,,,Rasmussen-1
293.0,13,California,,49,41,,Oct 26,,,,,,,,Field Poll-13
289.5,4,California,,46,44,,Oct 18,,,,,,,,SurveyUSA-4
289.5,8,California,,50,42,,Oct 20,,,,,,,,LA Times-8
289.0,1,California,,48,44,,Oct 16,,,,,,,,Pulse Opinion Research-1
286.5,8,California,,43,38,,Oct 17,,,,,,,,Public Policy Inst. of Calif.-8
286.0,1,California,,49,46,,Oct 13,,,,,,,,Rasmussen-1
286.0,3,California,,46,45,,Oct 14,,,,,,,,IPSOS-3
278.0,3,California,,55,39,,Oct 06,,,,,,,,Angus Reid Public Opinion-3
276.0,1,California,,49,45,,Oct 03,,,,,,,,Rasmussen-1
276.0,3,California,,49,45,,Oct 04,,,,,,,,IPSOS-3
274.5,4,California,,46,43,,Oct 03,,,,,,,,SurveyUSA-4
269.0,5,California,,52,43,,Sep 28,,,,,,,,Opinion Research-5
265.5,8,California,,42,35,,Sep 26,,,,,,,,Public Policy Inst. of Calif.-8
263.0,1,California,,47,43,,Sep 20,,,,,,,,Rasmussen-1
263.0,3,California,,49,43,,Sep 21,,,,,,,,SurveyUSA-3
261.5,8,California,,51,43,,Sep 22,,,,,,,,LA Times-8
261.0,1,California,,47,46,,Sep 18,,,,,,,,Pulse Opinion Res.-1
260.5,8,California,,47,41,,Sep 21,,,,,,,,Field Poll-8
258.0,3,California,,50,42,,Sep 16,,,,,,,,PPP-3
254.0,1,California,,46,44,,Sep 11,,,,,,,,Pulse Opinion Res.-1
254.0,3,California,,48,46,,Sep 12,,,,,,,,SurveyUSA-3
249.0,1,California,,47,48,,Sep 06,,,,,,,,Rasmussen-1
247.5,6,California,,48,44,,Sep 07,,,,,,,,Opinion Research-6
245.0,1,California,,46,48,,Sep 02,,,,,,,,SurveyUSA-1
236.0,1,California,,49,44,,Aug 24,,,,,,,,Rasmussen-1
222.0,3,California,,42,47,,Aug 11,,,,,,,,SurveyUSA-3
215.0,1,California,,45,40,,Aug 03,,,,,,,,Rasmussen-1
205.0,3,California,,49,40,,Jul 25,,,,,,,,PPP-3
194.0,15,California,,39,34,,Jul 20,,,,,,,,Public Policy Inst. of Calif.-15
193.0,1,California,,49,42,,Jul 12,,,,,,,,Rasmussen-1
190.5,4,California,,45,47,,Jul 11,,,,,,,,SurveyUSA-4
179.5,14,California,,47,44,,Jul 05,,,,,,,,Field Poll-14
177.0,3,California,,45,41,,Jun 27,,,,,,,,IPSOS-3
160.0,1,California,,48,43,,Jun 09,,,,,,,,Rasmussen-1
142.5,8,California,,44,38,,May 26,,,,,,,,LA Times-8
142.0,3,California,,45,42,,May 23,,,,,,,,PPP-3
132.5,8,California,,48,39,,May 16,,,,,,,,Public Policy Inst. of Calif.-8
132.0,1,California,,45,38,,May 12,,,,,,,,Rasmussen-1
102.0,1,California,,42,38,,Apr 12,,,,,,,,Rasmussen-1
 71.5,8,California,,44,43,,Mar 16,,,,,,,,Public Policy Inst. of Calif.-8
 71.0,7,California,,45,44,,Mar 15,,,,,,,,Field Poll-7
 70.0,1,California,,46,40,,Mar 11,,,,,,,,Rasmussen-1
 42.0,1,California,,46,42,,Feb 11,,,,,,,,Rasmussen-1
 15.5,8,California,,48,40,,Jan 19,,,,,,,,Public Policy Inst. of Calif.-8
 14.0,1,California,,46,43,,Jan 14,,,,,,,,Rasmussen-1
 11.0,13,California,,50,35,,Jan 17,,,,,,,,Field Poll-13
300.0,3,Colorado,,45,49,,Oct 28,,,,,,,,Marist Coll.-3
